serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barsstarttime,streamingpriority,strategy
1,NIFTY50,NSENIFTY,IND,NSE,,INR,,,,1,,0,INDEX
2,3MINDIA,3MINDIA,STK,NSE,,INR,,,,250,,4,ADR:CNX500
3,AARTIIND,AARTIIND,STK,NSE,,INR,,,,250,,4,ADR:CNX500
4,ABAN,ABAN,STK,NSE,,INR,,,,1000,,4,ADR:CNX500
5,ABB,ABB,STK,NSE,,INR,,,,2000,,4,ADR:CNX500
6,ABGSHIP,ABGSHIP,STK,NSE,,INR,,,,8000,,4,ADR:CNX500
7,ABIRLANUV,ABIRLANUVO,STK,NSE,,INR,,,,4000,,2,ADR:CNX500:FNO
8,ACC,ACC,STK,NSE,,INR,,,,2000,,1,ADR:CNX500:NIFTY:FNO
9,ADANIENT,ADANIENT,STK,NSE,,INR,,,,4000,,2,ADR:CNX500:FNO
10,ADANIPORT,ADANIPORTS,STK,NSE,,INR,,,,250,,2,ADR:CNX500:FNO
11,ADVANTA,ADVANTA,STK,NSE,,INR,,,,2000,,4,ADR:CNX500
12,AIAENG,AIAENG,STK,NSE,,INR,,,,2000,,4,ADR:CNX500
13,AIL,AIL,STK,NSE,,INR,,,,11000,,4,ADR:CNX500
14,AJP,AJANTPHARM,STK,NSE,,INR,,,,500,,4,ADR:CNX500
15,AKZOINDIA,AKZOINDIA,STK,NSE,,INR,,,,500,,4,ADR:CNX500
16,ALBK,ALBK,STK,NSE,,INR,,,,1250,,2,ADR:CNX500:FNO
17,ALLCARGO,ALLCARGO,STK,NSE,,INR,,,,125,,4,ADR:CNX500
18,ALOKTEXT,ALOKTEXT,STK,NSE,,INR,,,,500,,4,ADR:CNX500
19,ALSTOMTD,ALSTOMT&D,STK,NSE,,INR,,,,1000,,4,ADR:CNX500
20,AMARAJABA,AMARAJABAT,STK,NSE,,INR,,,,250,,4,ADR:CNX500
21,AMBUJACEM,AMBUJACEM,STK,NSE,,INR,,,,1000,,1,ADR:CNX500:NIFTY:FNO
22,AMTEKAUTO,AMTEKAUTO,STK,NSE,,INR,,,,1000,,2,ADR:CNX500:FNO
23,AMTEKINDI,AMTEKINDIA,STK,NSE,,INR,,,,2000,,4,ADR:CNX500
24,ANANTRAJ,ANANTRAJ,STK,NSE,,INR,,,,500,,4,ADR:CNX500
25,ANDHRABAN,ANDHRABANK,STK,NSE,,INR,,,,500,,2,ADR:CNX500:FNO
26,ANSALAPI,ANSALAPI,STK,NSE,,INR,,,,1000,,4,ADR:CNX500
27,APARINDS,APARINDS,STK,NSE,,INR,,,,1000,,4,ADR:CNX500
28,APLLTD,APLLTD,STK,NSE,,INR,,,,1000,,4,ADR:CNX500
29,APOLLOHOS,APOLLOHOSP,STK,NSE,,INR,,,,500,,2,ADR:CNX500:FNO
30,APOLLOTYR,APOLLOTYRE,STK,NSE,,INR,,,,1000,,2,ADR:CNX500:FNO
31,ASAHIINDI,ASAHIINDIA,STK,NSE,,INR,,,,1000,,4,ADR:CNX500
32,ASHOKA,ASHOKA,STK,NSE,,INR,,,,250,,4,ADR:CNX500
33,ASHOKLEY,ASHOKLEY,STK,NSE,,INR,,,,2000,,2,ADR:CNX500:FNO
34,ASIANPAIN,ASIANPAINT,STK,NSE,,INR,,,,2000,,1,ADR:CNX500:NIFTY:FNO
35,ASTRAL,ASTRAL,STK,NSE,,INR,,,,8000,,4,ADR:CNX500
36,ASTRAZEN,ASTRAZEN,STK,NSE,,INR,,,,250,,4,ADR:CNX500
37,ATFL,ATFL,STK,NSE,,INR,,,,2000,,4,ADR:CNX500
38,ATUL,ATUL,STK,NSE,,INR,,,,125,,4,ADR:CNX500
39,AUROPHARM,AUROPHARMA,STK,NSE,,INR,,,,2000,,2,ADR:CNX500:FNO
40,AUTOAXLES,AUTOAXLES,STK,NSE,,INR,,,,4000,,4,ADR:CNX500
41,AXISBANK,AXISBANK,STK,NSE,,INR,,,,1000,,1,ADR:CNX500:NIFTY:FNO
42,BAJAJ-AUT,BAJAJ-AUTO,STK,NSE,,INR,,,,500,,1,ADR:CNX500:NIFTY:FNO
43,BAJAJCORP,BAJAJCORP,STK,NSE,,INR,,,,10000,,4,ADR:CNX500
44,BAJAJELEC,BAJAJELEC,STK,NSE,,INR,,,,1000,,4,ADR:CNX500
45,BAJAJFINS,BAJAJFINSV,STK,NSE,,INR,,,,125,,4,ADR:CNX500
46,BAJAJHIND,BAJAJHIND,STK,NSE,,INR,,,,1250,,4,ADR:CNX500
