serialno,brokersymbol,exchangesymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barstarttime,streaming,strategy
1,NIFTY50,NSENIFTY,,FUT,NSE,,INR,20150730,,,25,,4,DATA
2,ABIRLANUV,ABIRLANUVO,,FUT,NSE,,INR,20150730,,,125,,4,DATA
3,ACC,ACC,,FUT,NSE,,INR,20150730,,,125,,4,DATA
4,AJP,AJANTPHARM,,FUT,NSE,,INR,20150730,,,250,,4,DATA
5,AMARAJABA,AMARAJABAT,,FUT,NSE,,INR,20150730,,,250,,4,DATA
6,AMTEKAUTO,AMTEKAUTO,,FUT,NSE,,INR,20150730,,,2000,,4,DATA
7,ASHOKLEY,ASHOKLEY,,FUT,NSE,,INR,20150730,,,4000,,4,DATA
8,AXISBANK,AXISBANK,,FUT,NSE,,INR,20150730,,,500,,4,DATA
9,APOLLOHOS,APOLLOHOSP,,FUT,NSE,,INR,20150730,,,250,,4,DATA
10,BAJAJ-AUT,BAJAJ-AUTO,,FUT,NSE,,INR,20150730,,,125,,4,DATA
11,ARVIND,ARVIND,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
12,BAJFINANC,BAJFINANCE,,FUT,NSE,,INR,20150730,,,125,,4,DATA
13,BANKINDIA,BANKINDIA,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
14,BEL,BEL,,FUT,NSE,,INR,20150730,,,125,,4,DATA
15,BHARATFOR,BHARATFORG,,FUT,NSE,,INR,20150730,,,250,,4,DATA
16,BHARTIART,BHARTIARTL,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
17,BHEL,BHEL,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
18,BIOCON,BIOCON,,FUT,NSE,,INR,20150730,,,500,,4,DATA
19,BOSCHLTD,BOSCHLTD,,FUT,NSE,,INR,20150730,,,125,,4,DATA
20,BRITANNIA,BRITANNIA,,FUT,NSE,,INR,20150730,,,125,,4,DATA
21,CAIRN,CAIRN,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
22,CASTROLIN,CASTROLIND,,FUT,NSE,,INR,20150730,,,500,,4,DATA
23,ADANIPORT,ADANIPORTS,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
24,CEATLTD,CEATLTD,,FUT,NSE,,INR,20150730,,,500,,4,DATA
25,ADANIPOWE,ADANIPOWER,,FUT,NSE,,INR,20150730,,,4000,,4,DATA
26,ALBK,ALBK,,FUT,NSE,,INR,20150730,,,2000,,4,DATA
27,AMBUJACEM,AMBUJACEM,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
28,ANDHRABAN,ANDHRABANK,,FUT,NSE,,INR,20150730,,,4000,,4,DATA
29,CENTURYTE,CENTURYTEX,,FUT,NSE,,INR,20150730,,,500,,4,DATA
30,CESC,CESC,,FUT,NSE,,INR,20150730,,,500,,4,DATA
31,APOLLOTYR,APOLLOTYRE,,FUT,NSE,,INR,20150730,,,2000,,4,DATA
32,DIVISLAB,DIVISLAB,,FUT,NSE,,INR,20150730,,,125,,4,DATA
33,ASIANPAIN,ASIANPAINT,,FUT,NSE,,INR,20150730,,,250,,4,DATA
34,DRREDDY,DRREDDY,,FUT,NSE,,INR,20150730,,,125,,4,DATA
35,EICHERMOT,EICHERMOT,,FUT,NSE,,INR,20150730,,,125,,4,DATA
36,AUROPHARM,AUROPHARMA,,FUT,NSE,,INR,20150730,,,500,,4,DATA
37,EXIDEIND,EXIDEIND,,FUT,NSE,,INR,20150730,,,2000,,4,DATA
38,FEDERALBN,FEDERALBNK,,FUT,NSE,,INR,20150730,,,4000,,4,DATA
39,GAIL,GAIL,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
40,GODREJIND,GODREJIND,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
41,HCLTECH,HCLTECH,,FUT,NSE,,INR,20150730,,,250,,4,DATA
42,HDFC,HDFC,,FUT,NSE,,INR,20150730,,,250,,4,DATA
43,HINDPETRO,HINDPETRO,,FUT,NSE,,INR,20150730,,,500,,4,DATA
44,IBREALEST,IBREALEST,,FUT,NSE,,INR,20150730,,,4000,,4,DATA
45,INBULLS,IBULHSGFIN,,FUT,NSE,,INR,20150730,,,500,,4,DATA
46,IDEA,IDEA,,FUT,NSE,,INR,20150730,,,2000,,4,DATA
47,IDFC,IDFC,,FUT,NSE,,INR,20150730,,,2000,,4,DATA
48,BATAINDIA,BATAINDIA,,FUT,NSE,,INR,20150730,,,250,,4,DATA
49,IGL,IGL,,FUT,NSE,,INR,20150730,,,500,,4,DATA
50,INDIACEM,INDIACEM,,FUT,NSE,,INR,20150730,,,4000,,4,DATA
51,BANKBAROD,BANKBARODA,,FUT,NSE,,INR,20150730,,,2000,,4,DATA
52,IOB,IOB,,FUT,NSE,,INR,20150730,,,8000,,4,DATA
53,IOC,IOC,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
54,JSWENERGY,JSWENERGY,,FUT,NSE,,INR,20150730,,,2000,,4,DATA
55,KOTAKBANK,KOTAKBANK,,FUT,NSE,,INR,20150730,,,500,,4,DATA
56,KSCL,KSCL,,FUT,NSE,,INR,20150730,,,250,,4,DATA
57,BPCL,BPCL,,FUT,NSE,,INR,20150730,,,500,,4,DATA
58,CANBK,CANBK,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
59,CIPLA,CIPLA,,FUT,NSE,,INR,20150730,,,500,,4,DATA
60,COALINDIA,COALINDIA,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
61,COLPAL,COLPAL,,FUT,NSE,,INR,20150730,,,125,,4,DATA
