serialno,symbol,brokersymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barsstarttime,streamingpriority,strategy
1,NIFTY50,NSENIFTY,,FUT,NSE,,INR,20150827,,,50,,0,ADR
2,NIFTY50,NSENIFTY,,IND,NSE,,INR,,,,1,,0,INDEX
3,3MINDIA,3MINDIA,,STK,NSE,,INR,,,,250,,4,ADR:CNX500
4,AARTIIND,AARTIIND,,STK,NSE,,INR,,,,250,,4,ADR:CNX500
5,ABAN,ABAN,,STK,NSE,,INR,,,,1000,,4,ADR:CNX500
6,ABB,ABB,,STK,NSE,,INR,,,,2000,,4,ADR:CNX500
7,ABGSHIP,ABGSHIP,,STK,NSE,,INR,,,,8000,,4,ADR:CNX500
8,ABIRLANUV,ABIRLANUVO,,STK,NSE,,INR,,,,4000,,2,ADR:CNX500:FNO
9,ACC,ACC,,STK,NSE,,INR,,,,2000,,1,ADR:CNX500:NIFTY:FNO
10,ADANIENT,ADANIENT,,STK,NSE,,INR,,,,4000,,2,ADR:CNX500:FNO
11,ADANIPORT,ADANIPORTS,,STK,NSE,,INR,,,,250,,2,ADR:CNX500:FNO
12,ADVANTA,ADVANTA,,STK,NSE,,INR,,,,2000,,4,ADR:CNX500
13,AIAENG,AIAENG,,STK,NSE,,INR,,,,2000,,4,ADR:CNX500
14,AIL,AIL,,STK,NSE,,INR,,,,11000,,4,ADR:CNX500
15,AJP,AJANTPHARM,,STK,NSE,,INR,,,,500,,4,ADR:CNX500
16,AKZOINDIA,AKZOINDIA,,STK,NSE,,INR,,,,500,,4,ADR:CNX500
17,ALBK,ALBK,,STK,NSE,,INR,,,,1250,,2,ADR:CNX500:FNO
18,ALLCARGO,ALLCARGO,,STK,NSE,,INR,,,,125,,4,ADR:CNX500
19,ALOKTEXT,ALOKTEXT,,STK,NSE,,INR,,,,500,,4,ADR:CNX500
20,ALSTOMTD,ALSTOMT&D,,STK,NSE,,INR,,,,1000,,4,ADR:CNX500
21,AMARAJABA,AMARAJABAT,,STK,NSE,,INR,,,,250,,4,ADR:CNX500
22,AMBUJACEM,AMBUJACEM,,STK,NSE,,INR,,,,1000,,1,ADR:CNX500:NIFTY:FNO
23,AMTEKAUTO,AMTEKAUTO,,STK,NSE,,INR,,,,1000,,2,ADR:CNX500:FNO
24,AMTEKINDI,AMTEKINDIA,,STK,NSE,,INR,,,,2000,,4,ADR:CNX500
25,ANANTRAJ,ANANTRAJ,,STK,NSE,,INR,,,,500,,4,ADR:CNX500
26,ANDHRABAN,ANDHRABANK,,STK,NSE,,INR,,,,500,,2,ADR:CNX500:FNO
27,ANSALAPI,ANSALAPI,,STK,NSE,,INR,,,,1000,,4,ADR:CNX500
28,APARINDS,APARINDS,,STK,NSE,,INR,,,,1000,,4,ADR:CNX500
29,APLLTD,APLLTD,,STK,NSE,,INR,,,,1000,,4,ADR:CNX500
30,APOLLOHOS,APOLLOHOSP,,STK,NSE,,INR,,,,500,,2,ADR:CNX500:FNO
31,APOLLOTYR,APOLLOTYRE,,STK,NSE,,INR,,,,1000,,2,ADR:CNX500:FNO
32,ASAHIINDI,ASAHIINDIA,,STK,NSE,,INR,,,,1000,,4,ADR:CNX500
33,ASHOKA,ASHOKA,,STK,NSE,,INR,,,,250,,4,ADR:CNX500
34,ASHOKLEY,ASHOKLEY,,STK,NSE,,INR,,,,2000,,2,ADR:CNX500:FNO
35,ASIANPAIN,ASIANPAINT,,STK,NSE,,INR,,,,2000,,1,ADR:CNX500:NIFTY:FNO
36,ASTRAL,ASTRAL,,STK,NSE,,INR,,,,8000,,4,ADR:CNX500
37,ASTRAZEN,ASTRAZEN,,STK,NSE,,INR,,,,250,,4,ADR:CNX500
38,ATFL,ATFL,,STK,NSE,,INR,,,,2000,,4,ADR:CNX500
39,ATUL,ATUL,,STK,NSE,,INR,,,,125,,4,ADR:CNX500
40,AUROPHARM,AUROPHARMA,,STK,NSE,,INR,,,,2000,,2,ADR:CNX500:FNO
41,AUTOAXLES,AUTOAXLES,,STK,NSE,,INR,,,,4000,,4,ADR:CNX500
42,AXISBANK,AXISBANK,,STK,NSE,,INR,,,,1000,,1,ADR:CNX500:NIFTY:FNO
43,BAJAJ-AUT,BAJAJ-AUTO,,STK,NSE,,INR,,,,500,,1,ADR:CNX500:NIFTY:FNO
44,BAJAJCORP,BAJAJCORP,,STK,NSE,,INR,,,,10000,,4,ADR:CNX500
45,BAJAJELEC,BAJAJELEC,,STK,NSE,,INR,,,,1000,,4,ADR:CNX500
46,BAJAJFINS,BAJAJFINSV,,STK,NSE,,INR,,,,125,,4,ADR:CNX500
47,BAJAJHIND,BAJAJHIND,,STK,NSE,,INR,,,,1250,,4,ADR:CNX500
48,BAJAJHLDN,BAJAJHLDNG,,STK,NSE,,INR,,,,250,,4,ADR:CNX500
49,BAJFINANC,BAJFINANCE,,STK,NSE,,INR,,,,250,,4,ADR:CNX500
50,BALLARPUR,BALLARPUR,,STK,NSE,,INR,,,,500,,4,ADR:CNX500
51,BALMLAWRI,BALMLAWRIE,,STK,NSE,,INR,,,,8000,,4,ADR:CNX500
52,BALRAMCHI,BALRAMCHIN,,STK,NSE,,INR,,,,125,,4,ADR:CNX500
53,BANKBAROD,BANKBARODA,,STK,NSE,,INR,,,,2000,,1,ADR:CNX500:NIFTY:FNO
54,BANKINDIA,BANKINDIA,,STK,NSE,,INR,,,,2000,,2,ADR:CNX500:FNO
55,BASF,BASF,,STK,NSE,,INR,,,,1000,,4,ADR:CNX500
56,BATAINDIA,BATAINDIA,,STK,NSE,,INR,,,,500,,2,ADR:CNX500:FNO
57,BBTC,BBTC,,STK,NSE,,INR,,,,2000,,4,ADR:CNX500
58,BEL,BEL,,STK,NSE,,INR,,,,4000,,4,ADR:CNX500
59,BEML,BEML,,STK,NSE,,INR,,,,250,,4,ADR:CNX500
60,BRGR,BERGEPAINT,,STK,NSE,,INR,,,,4000,,4,ADR:CNX500
61,BFUTILITI,BFUTILITIE,,STK,NSE,,INR,,,,2000,,4,ADR:CNX500
62,BGRENERGY,BGRENERGY,,STK,NSE,,INR,,,,2000,,4,ADR:CNX500
63,BHARATFOR,BHARATFORG,,STK,NSE,,INR,,,,9000,,2,ADR:CNX500:FNO
64,BHARTIART,BHARTIARTL,,STK,NSE,,INR,,,,1000,,1,ADR:CNX500:NIFTY:FNO
