serialno,brokersymbol,exchangesymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barstarttime,streaming,strategy
1,SBIN,SBIN,,FUT,NSE,,INR,20151029,,,125,,2,SWING
2,SBIN,SBIN,,STK,NSE,,INR,,,,125,,2,SWING
3,SBIN,SBIN,,FUT,NSE,,INR,20151126,,,125,,2,SWING
4,YESBANK,YESBANK,,FUT,NSE,,INR,20151029,,,125,,2,SWING
5,YESBANK,YESBANK,,STK,NSE,,INR,,,,125,,2,SWING
6,YESBANK,YESBANK,,FUT,NSE,,INR,20151126,,,125,,2,SWING
7,BANKBAROD,BANKBARODA,,FUT,NSE,,INR,20151029,,,125,,2,SWING
8,BANKBAROD,BANKBARODA,,STK,NSE,,INR,,,,125,,2,SWING
9,BANKBAROD,BANKBARODA,,FUT,NSE,,INR,20151126,,,125,,2,SWING
10,AXISBANK,AXISBANK,,FUT,NSE,,INR,20151029,,,125,,2,SWING
11,AXISBANK,AXISBANK,,STK,NSE,,INR,,,,125,,2,SWING
12,AXISBANK,AXISBANK,,FUT,NSE,,INR,20151126,,,125,,2,SWING
