serialno,brokersymbol,exchangesymbol,happyname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barsstarttime,streamingpriority,strategy
1,ACC,ACC,,FUT,NSE,,INR,20150730,,,125,,2,SWING
2,AMBUJACEM,AMBUJACEM,,FUT,NSE,,INR,20150730,,,1000,,2,SWING
3,ASIANPAIN,ASIANPAINT,,FUT,NSE,,INR,20150730,,,250,,2,SWING
4,AXISBANK,AXISBANK,,FUT,NSE,,INR,20150730,,,500,,2,SWING
5,BANKBAROD,BANKBARODA,,FUT,NSE,,INR,20150730,,,2000,,2,SWING
6,BHARTIART,BHARTIARTL,,FUT,NSE,,INR,20150730,,,1000,,2,SWING
7,BHEL,BHEL,,FUT,NSE,,INR,20150730,,,1000,,2,SWING
8,BPCL,BPCL,,FUT,NSE,,INR,20150730,,,500,,2,SWING
9,CAIRN,CAIRN,,FUT,NSE,,INR,20150730,,,1000,,2,SWING
10,CIPLA,CIPLA,,FUT,NSE,,INR,20150730,,,500,,2,SWING
11,DRREDDY,DRREDDY,,FUT,NSE,,INR,20150730,,,125,,2,SWING
12,GAIL,GAIL,,FUT,NSE,,INR,20150730,,,1000,,2,SWING
13,GRASIM,GRASIM,,FUT,NSE,,INR,20150730,,,125,,2,SWING
14,HCLTECH,HCLTECH,,FUT,NSE,,INR,20150730,,,250,,2,SWING
15,HDFC,HDFC,,FUT,NSE,,INR,20150730,,,250,,2,SWING
16,HDFCBANK,HDFCBANK,,FUT,NSE,,INR,20150730,,,250,,2,SWING
17,HINDALCO,HINDALCO,,FUT,NSE,,INR,20150730,,,2000,,2,SWING
18,HINDUNILV,HINDUNILVR,,FUT,NSE,,INR,20150730,,,250,,2,SWING
19,ICICIBANK,ICICIBANK,,FUT,NSE,,INR,20150730,,,1000,,2,SWING
20,IDEA,IDEA,,FUT,NSE,,INR,20150730,,,2000,,2,SWING
21,INDUSINDB,INDUSINDBK,,FUT,NSE,,INR,20150730,,,250,,2,SWING
22,ITC,ITC,,FUT,NSE,,INR,20150730,,,1000,,2,SWING
23,KOTAKBANK,KOTAKBANK,,FUT,NSE,,INR,20150730,,,500,,2,SWING
24,LT,LT,,FUT,NSE,,INR,20150730,,,4000,,2,SWING
25,LUPIN,LUPIN,,FUT,NSE,,INR,20150730,,,125,,2,SWING
26,MARUTI,MARUTI,,FUT,NSE,,INR,20150730,,,125,,2,SWING
27,MM,M&M,,FUT,NSE,,INR,20150730,,,1000,,2,SWING
28,NTPC,NTPC,,FUT,NSE,,INR,20150730,,,2000,,2,SWING
29,ONGC,ONGC,,FUT,NSE,,INR,20150730,,,1000,,2,SWING
30,PNB,PNB,,FUT,NSE,,INR,20150730,,,2000,,2,SWING
31,POWERGRID,POWERGRID,,FUT,NSE,,INR,20150730,,,2000,,2,SWING
32,RELIANCE,RELIANCE,,FUT,NSE,,INR,20150730,,,250,,2,SWING
33,SBIN,SBIN,,FUT,NSE,,INR,20150730,,,1000,,2,SWING
34,SUNPHARMA,SUNPHARMA,,FUT,NSE,,INR,20150730,,,250,,2,SWING
35,TATAMOTOR,TATAMOTORS,,FUT,NSE,,INR,20150730,,,500,,2,SWING
36,TATAPOWER,TATAPOWER,,FUT,NSE,,INR,20150730,,,4000,,2,SWING
37,TATASTEEL,TATASTEEL,,FUT,NSE,,INR,20150730,,,1000,,2,SWING
