serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barstarttime,streaming,strategy
1,NIFTY50,NSENIFTY,FUT,NSE,,INR,20150625,,,25,,4,DATA
2,ABIRLANUV,ABIRLANUVO,FUT,NSE,,INR,20150625,,,125,,4,DATA
3,ARVIND,ARVIND,FUT,NSE,,INR,20150625,,,1000,,4,DATA
4,ACC,ACC,FUT,NSE,,INR,20150625,,,125,,4,DATA
5,ADANIPORT,ADANIPORTS,FUT,NSE,,INR,20150625,,,1000,,4,DATA
6,ADANIPOWE,ADANIPOWER,FUT,NSE,,INR,20150625,,,4000,,4,DATA
7,ALBK,ALBK,FUT,NSE,,INR,20150625,,,2000,,4,DATA
8,AMTEKAUTO,AMTEKAUTO,FUT,NSE,,INR,20150625,,,2000,,4,DATA
9,ANDHRABAN,ANDHRABANK,FUT,NSE,,INR,20150625,,,4000,,4,DATA
10,APOLLOHOS,APOLLOHOSP,FUT,NSE,,INR,20150625,,,250,,4,DATA
11,ASHOKLEY,ASHOKLEY,FUT,NSE,,INR,20150625,,,4000,,4,DATA
12,ASIANPAIN,ASIANPAINT,FUT,NSE,,INR,20150625,,,250,,4,DATA
13,AUROPHARM,AUROPHARMA,FUT,NSE,,INR,20150625,,,250,,4,DATA
14,BANKINDIA,BANKINDIA,FUT,NSE,,INR,20150625,,,1000,,4,DATA
15,AMBUJACEM,AMBUJACEM,FUT,NSE,,INR,20150625,,,1000,,4,DATA
16,AJP,AJANTPHARM,FUT,NSE,,INR,20150625,,,250,,4,DATA
17,APOLLOTYR,APOLLOTYRE,FUT,NSE,,INR,20150625,,,2000,,4,DATA
18,BATAINDIA,BATAINDIA,FUT,NSE,,INR,20150625,,,250,,4,DATA
19,BHARTIART,BHARTIARTL,FUT,NSE,,INR,20150625,,,500,,4,DATA
20,AMARAJABA,AMARAJABAT,FUT,NSE,,INR,20150625,,,250,,4,DATA
21,BHEL,BHEL,FUT,NSE,,INR,20150625,,,1000,,4,DATA
22,BAJFINANC,BAJFINANCE,FUT,NSE,,INR,20150625,,,125,,4,DATA
23,BOSCHLTD,BOSCHLTD,FUT,NSE,,INR,20150625,,,125,,4,DATA
24,BAJAJ-AUT,BAJAJAUTO,FUT,NSE,,INR,20150625,,,125,,4,DATA
