serialno,brokersymbol,exchangesymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barstarttime,streaming,strikedistance,strategy
0,NIFTY50,NSENIFTY,,IND,NSE,,INR,,,,1,,1,0,DATA
1,BANKNIFTY,BANKNIFTY,,IND,NSE,,INR,,,,40,,1,100.0,DATA
2,NIFTY50,NSENIFTY,,FUT,NSE,,INR,20180125,,,75,,1,100.0,DATA
3,NIFTY50,NSENIFTY,,FUT,NSE,,INR,20180222,,,75,,1,100.0,DATA
4,EICHERMOT,EICHERMOT,,STK,NSE,,INR,,,,1,,1,50.0,DATA
5,TATACHEM,TATACHEM,,STK,NSE,,INR,,,,1,,1,10.0,DATA
6,PNB,PNB,,STK,NSE,,INR,,,,1,,1,10.0,DATA
7,HINDUNILV,HINDUNILVR,,STK,NSE,,INR,,,,1,,1,20.0,DATA
8,AUROPHARM,AUROPHARMA,,STK,NSE,,INR,,,,1,,1,20.0,DATA
9,TATAMOTOR,TATAMOTORS,,STK,NSE,,INR,,,,1,,1,10.0,DATA
10,UPL,UPL,,STK,NSE,,INR,,,,1,,1,20.0,DATA
11,INDUSINDB,INDUSINDBK,,STK,NSE,,INR,,,,1,,1,20.0,DATA
12,SUNPHARMA,SUNPHARMA,,STK,NSE,,INR,,,,1,,1,10.0,DATA
13,LUPIN,LUPIN,,STK,NSE,,INR,,,,1,,1,20.0,DATA
14,NTPC,NTPC,,STK,NSE,,INR,,,,1,,1,2.5,DATA
15,DABUR,DABUR,,STK,NSE,,INR,,,,1,,1,5.0,DATA
16,TATAPOWER,TATAPOWER,,STK,NSE,,INR,,,,1,,1,2.5,DATA
17,BPCL,BPCL,,STK,NSE,,INR,,,,1,,1,10.0,DATA
18,RELCAPITA,RELCAPITAL,,STK,NSE,,INR,,,,1,,1,20.0,DATA
19,JINDALSTE,JINDALSTEL,,STK,NSE,,INR,,,,1,,1,5.0,DATA
20,POWERGRID,POWERGRID,,STK,NSE,,INR,,,,1,,1,2.5,DATA
21,BAJAJ-AUT,BAJAJ-AUTO,,STK,NSE,,INR,,,,1,,1,50.0,DATA
22,BAJFINANC,BAJFINANCE,,STK,NSE,,INR,,,,1,,1,50.0,DATA
23,IDFC,IDFC,,STK,NSE,,INR,,,,1,,1,2.5,DATA
24,INFRATEL,INFRATEL,,STK,NSE,,INR,,,,1,,1,10.0,DATA
25,ZEEL,ZEEL,,STK,NSE,,INR,,,,1,,1,10.0,DATA
26,HINDALCO,HINDALCO,,STK,NSE,,INR,,,,1,,1,5.0,DATA
