Symbol,Applicable Step value,Strikes,No of additional strikes which may be enabled intraday
ABIRLANUVO,50,6 -1- 6,6
ACC,20,10 -1- 10,10
ADANIENT,2.5,6 -1- 6,6
ADANIPORTS,10,6 -1- 6,6
ADANIPOWER,2.5,5 -1- 5,5
AJANTPHARM,50,8 -1- 8,8
ALBK,2.5,7 -1- 7,7
AMARAJABAT,20,10 -1- 10,10
AMBUJACEM,5,10 -1- 10,10
ANDHRABANK,2.5,5 -1- 5,5
APOLLOHOSP,20,10 -1- 10,10
APOLLOTYRE,5,9 -1- 9,9
ARVIND,10,7 -1- 7,7
ASHOKLEY,2.5,7 -1- 7,7
ASIANPAINT,20,10 -1- 10,10
AUROPHARMA,20,8 -1- 8,8
AXISBANK,10,10 -1- 10,10
BAJAJ-AUTO,50,10 -1- 10,10
BAJFINANCE,50,5 -1- 5,5
BANKBARODA,5,7 -1- 7,7
BANKINDIA,5,5 -1- 5,5
BATAINDIA,10,10 -1- 10,10
BEL,20,10 -1- 10,10
BEML,20,9 -1- 9,9
BHARATFIN,20,8 -1- 8,8
BHARATFORG,20,9 -1- 9,9
BHARTIARTL,10,7 -1- 7,7
BHEL,5,6 -1- 6,6
BIOCON,20,10 -1- 10,10
BOSCHLTD,50,10 -1- 10,10
BPCL,10,10 -1- 10,10
BRITANNIA,50,10 -1- 10,10
CADILAHC,10,8 -1- 8,8
CAIRN,5,8 -1- 8,8
CANBK,10,6 -1- 6,6
CASTROLIND,10,9 -1- 9,9
CEATLTD,20,10 -1- 10,10
CENTURYTEX,20,9 -1- 9,9
CESC,10,10 -1- 10,10
CIPLA,10,10 -1- 10,10
COALINDIA,5,10 -1- 10,10
COLPAL,20,10 -1- 10,10
CONCOR,20,10 -1- 10,10
CROMPGREAV,2.5,7 -1- 7,7
CUMMINSIND,20,9 -1- 9,9
DABUR,5,10 -1- 10,10
DCBBANK,5,5 -1- 5,5
DHFL,10,6 -1- 6,6
DISHTV,2.5,8 -1- 8,8
DIVISLAB,20,10 -1- 10,10
DLF,5,6 -1- 6,6
DRREDDY,50,10 -1- 10,10
EICHERMOT,50,10 -1- 10,10
ENGINERSIN,10,6 -1- 6,6
EXIDEIND,5,8 -1- 8,8
FEDERALBNK,2.5,6 -1- 6,6
GAIL,10,8 -1- 8,8
GLENMARK,20,9 -1- 9,9
GMRINFRA,2.5,5 -1- 5,5
GODREJCP,50,7 -1- 7,7
GODREJIND,10,9 -1- 9,9
GRANULES,2.5,10 -1- 10,10
GRASIM,10,10 -1- 10,10
HAVELLS,10,9 -1- 9,9
HCLTECH,20,8 -1- 8,8
HDFC,20,10 -1- 10,10
HDFCBANK,20,10 -1- 10,10
HDIL,2.5,8 -1- 8,8
HEROMOTOCO,50,10 -1- 10,10
HEXAWARE,5,8 -1- 8,8
HINDALCO,5,6 -1- 6,6
HINDPETRO,10,8 -1- 8,8
HINDUNILVR,20,10 -1- 10,10
HINDZINC,5,9 -1- 9,9
IBREALEST,5,5 -1- 5,5
IBULHSGFIN,20,8 -1- 8,8
ICICIBANK,5,10 -1- 10,10
ICIL,20,8 -1- 8,8
IDBI,2.5,7 -1- 7,7
IDEA,2.5,7 -1- 7,7
IDFC,2.5,5 -1- 5,5
IDFCBANK,2.5,7 - 1- 7,7
IFCI,2.5,5 -1- 5,5
IGL,20,8 -1- 8,8
INDIACEM,5,6 -1- 6,6
INDUSINDBK,20,10 -1- 10,10
INFRATEL,10,7 -1- 7,7
INFY,20,10 -1- 10,10
IOC,5,10 -1- 10,10
IRB,5,10 -1- 10,10
ITC,5,10 -1- 10,10
JETAIRWAYS,20,6 -1- 6,6
JINDALSTEL,5,5 -1- 5,5
JISLJALEQS,2.5,8 -1- 8,8
JPASSOCIAT,2.5,5 -1- 5,5
JSWENERGY,2.5,7 -1- 7,7
JSWSTEEL,50,7 -1- 7,7
JUBLFOOD,50,5 -1- 5,5
JUSTDIAL,20,5 -1- 5,5
KOTAKBANK,10,10 -1- 10,10
KPIT,5,6 -1- 6,6
KSCL,10,7 -1- 7,7
KTKBANK,5,7 -1- 7,7
L&TFH,2.5,8 -1- 8,8
LICHSGFIN,10,10 -1- 10,10
LT,20,10 -1- 10,10
LUPIN,50,7 -1- 7,7
M&M,20,10 -1- 10,10
M&MFIN,10,7 -1- 7,7
MARICO,5,10 -1- 10,10
MARUTI,50,10 -1- 10,10
MCDOWELL-N,50,10 -1- 10,10
MCLEODRUSS,5,8 -1- 8,8
MINDTREE,10,10 -1- 10,10
MOTHERSUMI,10,7 -1- 7,7
MRF,50,10 -1- 10,10
NCC,2.5,7 -1- 7,7
NHPC,2.5,5 -1- 5,5
NIITTECH,10,9 -1- 9,9
NMDC,2.5,9 -1- 9,9
NTPC,2.5,10 -1- 10,10
OFSS,50,10 -1- 10,10
OIL,10,8 -1- 8,8
ONGC,5,10 -1- 10,10
ORIENTBANK,5,5 -1- 5,5
PAGEIND,50,10 -1- 10,10
PCJEWELLER,20,5 -1- 5,5
PETRONET,10,7 -1- 7,7
PFC,2.5,10 -1- 10,10
PIDILITIND,10,10 -1- 10,10
PNB,5,6 -1- 6,6
POWERGRID,5,7 -1- 7,7
PTC,2.5,7 -1- 7,7
RCOM,2.5,5 -1- 5,5
RECLTD,5,10 -1- 10,10
RELCAPITAL,20,6 -1- 6,6
RELIANCE,20,10 -1- 10,10
RELINFRA,20,6 -1- 6,6
RPOWER,2.5,5 -1- 5,5
SAIL,2.5,5 -1- 5,5
SBIN,5,10 -1- 10,10
SIEMENS,20,10 -1- 10,10
SINTEX,2.5,7 -1- 7,7
SOUTHBANK,2.5,5 -1- 5,5
SRF,50,7 -1- 7,7
SRTRANSFIN,20,10 -1- 10,10
STAR,20,10 -1- 10,10
SUNPHARMA,10,10 -1- 10,10
SUNTV,20,5 -1- 5,5
SYNDIBANK,2.5,7 -1- 7,7
TATACHEM,20,6 -1- 6,6
TATACOMM,20,5 -1- 5,5
TATAELXSI,50,7 -1- 7,7
TATAGLOBAL,2.5,10 -1- 10,10
TATAMOTORS,20,6 -1- 6,6
TATAMTRDVR,10,7 -1- 7,7
TATAPOWER,2.5,6 -1- 6,6
TATASTEEL,10,8 -1- 8,8
TCS,50,10 -1- 10,10
TECHM,10,10 -1- 10,10
TITAN,10,9 -1- 9,9
TORNTPHARM,50,7 -1- 7,7
TORNTPOWER,5,7- 1- 7 ,7
TV18BRDCST,2.5,5 -1- 5,5
TVSMOTOR,10,7 -1- 7,7
UBL,20,9 -1- 9,9
ULTRACEMCO,50,10 -1- 10,10
UNIONBANK,5,6 -1- 6,6
UPL,20,7 -1- 7,7
VEDL,5,7 -1- 7,7
VOLTAS,10,8 -1- 8,8
WIPRO,10,10 -1- 10,10
WOCKPHARMA,20,9 -1- 9,9
YESBANK,20,10 -1- 10,10
ZEEL,10,10 -1- 10,10
