serialno,brokersymbol,exchangesymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barstarttime,streaming,strikedistance,strategy
0,NIFTY50,NSENIFTY,NSENIFTY,IND,NSE,,INR,,,,1,,1,0,DATA
1,BANKNIFTY,BANKNIFTY,BANKNIFTY,IND,NSE,,INR,,,,1,,1,0,DATA
2,CHOLAFIN,CHOLAFIN,CHOLAFIN,STK,NSE,,INR,,,,1,,10,20.0,NONE
3,LINDEINDI,LINDEINDIA,LINDEINDIA,STK,NSE,,INR,,,,1,,10,0,NONE
4,KESORAMIN,KESORAMIND,KESORAMIND,STK,NSE,,INR,,,,1,,10,0,NONE
5,PCJEWELLE,PCJEWELLER,PCJEWELLER,STK,NSE,,INR,,,,1,,10,10.0,NONE
6,BIRLACORP,BIRLACORPN,BIRLACORPN,STK,NSE,,INR,,,,1,,10,0,NONE
7,ITC,ITC,ITC,STK,NSE,,INR,,,,1,,10,5.0,NONE
8,KEC,KEC,KEC,STK,NSE,,INR,,,,1,,10,0,NONE
9,DALMIABHA,DALMIABHA,DALMIABHA,STK,NSE,,INR,,,,1,,10,50.0,NONE
10,BHARTIART,BHARTIARTL,BHARTIARTL,STK,NSE,,INR,,,,1,,10,10.0,NONE
11,WELSPUNIN,WELSPUNIND,WELSPUNIND,STK,NSE,,INR,,,,1,,10,0,NONE
12,MPHASIS,MPHASIS,MPHASIS,STK,NSE,,INR,,,,1,,10,0,NONE
13,BHARATFIN,BHARATFIN,BHARATFIN,STK,NSE,,INR,,,,1,,10,20.0,NONE
14,JMFINANCI,JMFINANCIL,JMFINANCIL,STK,NSE,,INR,,,,1,,10,0,NONE
15,BEML,BEML,BEML,STK,NSE,,INR,,,,1,,10,50.0,NONE
16,RELAXO,RELAXO,RELAXO,STK,NSE,,INR,,,,1,,10,0,NONE
17,JISLJALEQ,JISLJALEQS,JISLJALEQS,STK,NSE,,INR,,,,1,,10,2.5,NONE
18,KARURVYSY,KARURVYSYA,KARURVYSYA,STK,NSE,,INR,,,,1,,10,0,NONE
19,GSKCONS,GSKCONS,GSKCONS,STK,NSE,,INR,,,,1,,10,0,NONE
20,ITI,ITI,ITI,STK,NSE,,INR,,,,1,,10,0,NONE
21,SYMPHONY,SYMPHONY,SYMPHONY,STK,NSE,,INR,,,,1,,10,0,NONE
22,HTMEDIA,HTMEDIA,HTMEDIA,STK,NSE,,INR,,,,1,,10,0,NONE
23,AJANTPHAR,AJANTPHARM,AJANTPHARM,STK,NSE,,INR,,,,1,,10,20.0,NONE
24,RELIGARE,RELIGARE,RELIGARE,STK,NSE,,INR,,,,1,,10,0,NONE
25,INDIGO,INDIGO,INDIGO,STK,NSE,,INR,,,,1,,10,20.0,NONE
26,IBREALEST,IBREALEST,IBREALEST,STK,NSE,,INR,,,,1,,10,0,NONE
27,IBVENTURE,IBVENTURES,IBVENTURES,STK,NSE,,INR,,,,1,,10,0,NONE
28,SPARC,SPARC,SPARC,STK,NSE,,INR,,,,1,,10,0,NONE
29,MONSANTO,MONSANTO,MONSANTO,STK,NSE,,INR,,,,1,,10,0,NONE
30,UJJIVAN,UJJIVAN,UJJIVAN,STK,NSE,,INR,,,,1,,10,10.0,NONE
31,RCOM,RCOM,RCOM,STK,NSE,,INR,,,,1,,10,2.5,NONE
32,AEGISCHEM,AEGISCHEM,AEGISCHEM,STK,NSE,,INR,,,,1,,10,0,NONE
33,CCL,CCL,CCL,STK,NSE,,INR,,,,1,,10,0,NONE
34,PNB,PNB,PNB,STK,NSE,,INR,,,,1,,10,10.0,NONE
35,BLUEDART,BLUEDART,BLUEDART,STK,NSE,,INR,,,,1,,10,0,NONE
36,HINDZINC,HINDZINC,HINDZINC,STK,NSE,,INR,,,,1,,10,5.0,NONE
37,STARCEMEN,STARCEMENT,STARCEMENT,STK,NSE,,INR,,,,1,,10,0,NONE
38,BRITANNIA,BRITANNIA,BRITANNIA,STK,NSE,,INR,,,,1,,10,50.0,NONE
39,SHK,SHK,SHK,STK,NSE,,INR,,,,1,,10,0,NONE
40,HUDCO,HUDCO,HUDCO,STK,NSE,,INR,,,,1,,10,0,NONE
41,HDIL,HDIL,HDIL,STK,NSE,,INR,,,,1,,10,2.5,NONE
42,NTPC,NTPC,NTPC,STK,NSE,,INR,,,,1,,10,2.5,NONE
43,COFFEEDAY,COFFEEDAY,COFFEEDAY,STK,NSE,,INR,,,,1,,10,0,NONE
44,CGPOWER,CGPOWER,CGPOWER,STK,NSE,,INR,,,,1,,10,2.5,NONE
45,REPCOHOME,REPCOHOME,REPCOHOME,STK,NSE,,INR,,,,1,,10,20.0,NONE
46,TRIDENT,TRIDENT,TRIDENT,STK,NSE,,INR,,,,1,,10,0,NONE
47,BALKRISIN,BALKRISIND,BALKRISIND,STK,NSE,,INR,,,,1,,10,25.0,NONE
48,MGL,MGL,MGL,STK,NSE,,INR,,,,1,,10,20.0,NONE
49,DBCORP,DBCORP,DBCORP,STK,NSE,,INR,,,,1,,10,0,NONE
50,RAMCOSYS,RAMCOSYS,RAMCOSYS,STK,NSE,,INR,,,,1,,10,0,NONE
51,JSLHISAR,JSLHISAR,JSLHISAR,STK,NSE,,INR,,,,1,,10,0,NONE
52,RAIN,RAIN,RAIN,STK,NSE,,INR,,,,1,,10,0,NONE
53,APOLLOTYR,APOLLOTYRE,APOLLOTYRE,STK,NSE,,INR,,,,1,,10,5.0,NONE
54,MANPASAND,MANPASAND,MANPASAND,STK,NSE,,INR,,,,1,,10,0,NONE
55,GODREJPRO,GODREJPROP,GODREJPROP,STK,NSE,,INR,,,,1,,10,0,NONE
56,EROSMEDIA,EROSMEDIA,EROSMEDIA,STK,NSE,,INR,,,,1,,10,0,NONE
57,IDFCBANK,IDFCBANK,IDFCBANK,STK,NSE,,INR,,,,1,,10,2.5,NONE
58,FEDERALBN,FEDERALBNK,FEDERALBNK,STK,NSE,,INR,,,,1,,10,2.5,NONE
59,GILLETTE,GILLETTE,GILLETTE,STK,NSE,,INR,,,,1,,10,0,NONE
60,MINDTREE,MINDTREE,MINDTREE,STK,NSE,,INR,,,,1,,10,10.0,NONE
61,EIDPARRY,EIDPARRY,EIDPARRY,STK,NSE,,INR,,,,1,,10,0,NONE
62,ADANIPOWE,ADANIPOWER,ADANIPOWER,STK,NSE,,INR,,,,1,,10,2.5,NONE
63,FCONSUMER,FCONSUMER,FCONSUMER,STK,NSE,,INR,,,,1,,10,0,NONE
64,MOTHERSUM,MOTHERSUMI,MOTHERSUMI,STK,NSE,,INR,,,,1,,10,10.0,NONE
65,INOXLEISU,INOXLEISUR,INOXLEISUR,STK,NSE,,INR,,,,1,,10,0,NONE
66,GMRINFRA,GMRINFRA,GMRINFRA,STK,NSE,,INR,,,,1,,10,2.5,NONE
67,NMDC,NMDC,NMDC,STK,NSE,,INR,,,,1,,10,2.5,NONE
68,ASHOKLEY,ASHOKLEY,ASHOKLEY,STK,NSE,,INR,,,,1,,10,2.5,NONE
69,UCOBANK,UCOBANK,UCOBANK,STK,NSE,,INR,,,,1,,10,0,NONE
70,HCL-INSYS,HCL-INSYS,HCL-INSYS,STK,NSE,,INR,,,,1,,10,0,NONE
71,JAICORPLT,JAICORPLTD,JAICORPLTD,STK,NSE,,INR,,,,1,,10,0,NONE
72,LALPATHLA,LALPATHLAB,LALPATHLAB,STK,NSE,,INR,,,,1,,10,0,NONE
73,UNITEDBNK,UNITEDBNK,UNITEDBNK,STK,NSE,,INR,,,,1,,10,0,NONE
74,INDIACEM,INDIACEM,INDIACEM,STK,NSE,,INR,,,,1,,10,5.0,NONE
75,KAJARIACE,KAJARIACER,KAJARIACER,STK,NSE,,INR,,,,1,,10,20.0,NONE
76,PIDILITIN,PIDILITIND,PIDILITIND,STK,NSE,,INR,,,,1,,10,20.0,NONE
77,EVEREADY,EVEREADY,EVEREADY,STK,NSE,,INR,,,,1,,10,0,NONE
78,HINDUNILV,HINDUNILVR,HINDUNILVR,STK,NSE,,INR,,,,1,,10,20.0,NONE
79,TATAMTRDV,TATAMTRDVR,TATAMTRDVR,STK,NSE,,INR,,,,1,,10,5.0,NONE
80,VIPIND,VIPIND,VIPIND,STK,NSE,,INR,,,,1,,10,0,NONE
81,SNOWMAN,SNOWMAN,SNOWMAN,STK,NSE,,INR,,,,1,,10,0,NONE
