Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
20 MICRONS LIMITED,20MICRONS,20MICRONS,INR,121502066,NSE,STK
Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
3I INFOTECH LIMITED,3IINFOTEC,3IINFOTECH,INR,56572886,NSE,STK
Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
3M INDIA LTD,3MINDIA,3MINDIA,INR,56987997,NSE,STK
Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
8K MILES SOFTWARE SERVICES L,8KMILES,8KMILES,INR,143283318,NSE,STK
Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
A2Z INFRA ENGINEERING LTD,A2ZINFRA,A2ZINFRA,INR,82363906,NSE,STK
Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
AARTI DRUGS LIMITED,AARTIDRUG,AARTIDRUGS,INR,56988360,NSE,STK
Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
AARTI INDUSTRIES LIMITED,AARTIIND,AARTIIND,INR,56988365,NSE,STK
Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
AARVEE DENIMS & EXPORTS LTD,AARVEEDEN,AARVEEDEN,INR,56988371,NSE,STK
Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
ABAN OFFSHORE LIMITED,ABAN,ABAN,INR,56572872,NSE,STK
Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
ABB INDIA LTD,ABB,ABB,INR,51642767,NSE,STK
Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
ABBOTT INDIA LTD,ABBOTINDI,ABBOTINDIA,INR,64682792,NSE,STK
Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
ABG SHIPYARD LTD,ABGSHIP,ABGSHIP,INR,56572889,NSE,STK
Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
ABHISHEK CORPORATION LTD,ABHISHEK,ABHISHEK,INR,56573159,NSE,STK
Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
ACC LIMITED,ACC,ACC,INR,44652144,NSE,STK
Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
ACCEL FRONTLINE LTD,AFL,AFL,INR,56986795,NSE,STK
Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
ACCELYA KALE SOLUTIONS LTD,ACCELYA,ACCELYA,INR,56984942,NSE,STK
Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
ACROPETAL TECHNOLOGIES LTD,ACROPETAL,ACROPETAL,INR,85033332,NSE,STK
Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
ACTION CONSTRUCTION EQUIPMEN,ACE,ACE,INR,56986788,NSE,STK
Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
ADANI ENTERPRISES LTD,ADANIENT,ADANIENT,INR,56986798,NSE,STK
