serialno,symbol,type,exchange,primaryexchange,currency,expiry,option,right,contractID,additionalInput,longvolume,shortvolume,aggression,minsize,bars
1,BATAINDIA,FUT,NSE,,INR,201308,,,,,100000,-500000,-1,100,Y
2,JUBLFOOD,FUT,NSE,,INR,201308,,,,,100000,-500000,-1,100,Y
3,ASIANPAIN,FUT,NSE,,INR,201308,,,,,100000,-500000,-1,100,Y
4,BIOCON,FUT,NSE,,INR,201308,,,,,100000,-500000,-1,100,Y
5,BPCL,FUT,NSE,,INR,201308,,,,,100000,-500000,-1,100,Y
6,COALINDIA,FUT,NSE,,INR,201308,,,,,100000,-500000,-1,100,Y
7,DISHTV,FUT,NSE,,INR,201308,,,,,100000,-500000,-1,100,Y
8,FEDERALBN,FUT,NSE,,INR,201308,,,,,100000,-500000,-1,100,Y
9,HEROMOTOC,FUT,NSE,,INR,201308,,,,,100000,-500000,-1,100,Y
10,TCS,FUT,NSE,,INR,201308,,,,,100000,-500000,-1,100,Y
