serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,contractID,additionalInput,longvolume,shortvolume,aggression,minsize,bars,trailstop,preopen,streamingpriority,strategy
1,MMM,MMM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,Y,0.05,N,1,ADR
2,ABT,ABT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,0.05,N,1,ADR
3,ABBV,ABBV,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,1.05,N,2,ADR
4,ACE,ACE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,2.05,N,3,ADR
5,ACN,ACN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,3.05,N,4,ADR
6,ACT,ACT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,4.05,N,5,ADR
7,ADBE,ADBE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,5.05,N,6,ADR
8,ADT,ADT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,6.05,N,7,ADR
9,AES,AES,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,7.05,N,8,ADR
10,AET,AET,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,8.05,N,9,ADR
11,AFL,AFL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,9.05,N,10,ADR
12,A,A,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,10.05,N,11,ADR
13,GAS,GAS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,11.05,N,12,ADR
14,APD,APD,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,12.05,N,13,ADR
15,ARG,ARG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,13.05,N,14,ADR
16,AKAM,AKAM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,14.05,N,15,ADR
17,AA,AA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,15.05,N,16,ADR
18,ALXN,ALXN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,16.05,N,17,ADR
19,ATI,ATI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,17.05,N,18,ADR
20,ALLE,ALLE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,18.05,N,19,ADR
21,AGN,AGN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,19.05,N,20,ADR
22,ADS,ADS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,20.05,N,21,ADR
23,ALL,ALL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,21.05,N,22,ADR
24,ALTR,ALTR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,22.05,N,23,ADR
25,MO,MO,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,23.05,N,24,ADR
26,AMZN,AMZN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,24.05,N,25,ADR
27,AEE,AEE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,25.05,N,26,ADR
28,AEP,AEP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,26.05,N,27,ADR
