serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,contractID,additionalInput,longvolume,shortvolume,aggression,minsize,barsstarttime,trailstop,preopen,streamingpriority,strategy
1,ADANIENT,ADANIENT,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,2000,09:15:00,0.05,N,1,IDT
2,AXISBANK,AXISBANK,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,250,09:15:00,0.05,N,1,IDT
3,BANKBAROD,BANKBAROD,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,500,09:15:00,0.05,N,1,IDT
4,BHARTIART,BHARTIART,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,1000,09:15:00,0.05,N,1,IDT
5,BHEL,BHEL,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,2000,09:15:00,0.05,N,1,IDT
6,CANBK,CANBK,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,1000,09:15:00,0.05,N,1,IDT
7,DLF,DLF,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,2000,09:15:00,0.05,N,1,IDT
8,HDIL,HDIL,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,8000,09:15:00,0.05,N,1,IDT
9,HINDALCO,HINDALCO,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,2000,09:15:00,0.05,N,1,IDT
10,IDFC,IDFC,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,4000,09:15:00,0.05,N,1,IDT
11,INDUSINDB,INDUSINDB,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,1000,09:15:00,0.05,N,1,IDT
12,ITC,ITC,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,1000,09:15:00,0.05,N,1,IDT
13,JPASSOCIA,JPASSOCIA,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,8000,09:15:00,0.05,N,1,IDT
14,JSWSTEEL,JSWSTEEL,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,500,09:15:00,0.05,N,1,IDT
15,KOTAKBANK,KOTAKBANK,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,500,09:15:00,0.05,N,1,IDT
16,KTKBANK,KTKBANK,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,4000,09:15:00,0.05,N,1,IDT
17,LT,LT,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,500,09:15:00,0.05,N,1,IDT
18,PFC,PFC,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,2000,09:15:00,0.05,N,1,IDT
19,RANBAXY,RANBAXY,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,1000,09:15:00,0.05,N,1,IDT
