serialno,symbol,type,exchange,primaryexchange,currency,expiry,option,right,contractID,additionalInput,longvolume,shortvolume,aggression,minsize,bars,trailstop,preopen
1,CSCO,STK,SMART,NASDAQ,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
2,BAC,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
3,FB,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
4,MSFT,STK,SMART,NASDAQ,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
5,F,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
6,GE,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
7,MU,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
8,ZNGA,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
9,ODP,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
10,GM,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
11,PFE,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
12,HPQ,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
13,ORCL,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
14,JCP,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
15,EMC,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
16,C,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
17,YHOO,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
18,ABX,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
19,NOK,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
20,ALU,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
21,INTC,STK,SMART,NASDAQ,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
22,WFC,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
23,JPM,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
24,BRCM,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
25,GRPN,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
26,AA,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
27,ONVO,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
28,VALE,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
29,AMD,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
30,TWTR,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05,N
