serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,contractID,additionalInput,longvolume,shortvolume,aggression,minsize,barsstarttime,trailstop,preopen,streamingpriority,strategy
1,NIFTY50,NSENIFTY,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,2000,,0.05,N,1,ADR
2,20MICRONS,20MICRONS,STK,NSE,,INR,,,,,2000,100000,-500000,0,2000,,0.05,N,100,ADR
3,3IINFOTEC,3IINFOTEC,STK,NSE,,INR,,,,,2000,100000,-500000,0,250,,0.05,N,100,ADR
4,3MINDIA,3MINDIA,STK,NSE,,INR,,,,,2000,100000,-500000,0,-1500,,0.05,N,100,ADR
5,8KMILES,8KMILES,STK,NSE,,INR,,,,,2000,100000,-500000,0,-3250,,0.05,N,100,ADR
6,A2ZMES,A2ZMES,STK,NSE,,INR,,,,,2000,100000,-500000,0,-5000,,0.05,N,100,ADR
7,DRDATSONS,DRDATSONS,STK,NSE,,INR,,,,,2000,100000,-500000,0,-6750,,0.05,N,100,ADR
8,AARTIDRUG,AARTIDRUG,STK,NSE,,INR,,,,,2000,100000,-500000,0,-8500,,0.05,N,100,ADR
9,AARTIIND,AARTIIND,STK,NSE,,INR,,,,,2000,100000,-500000,0,-10250,,0.05,N,100,ADR
10,AARVEEDEN,AARVEEDEN,STK,NSE,,INR,,,,,2000,100000,-500000,0,-12000,,0.05,N,100,ADR
11,ABAN,ABAN,STK,NSE,,INR,,,,,2000,100000,-500000,0,-13750,,0.05,N,100,ADR
12,ABB,ABB,STK,NSE,,INR,,,,,2000,100000,-500000,0,-15500,,0.05,N,100,ADR
13,ABBOTINDI,ABBOTINDI,STK,NSE,,INR,,,,,2000,100000,-500000,0,-17250,,0.05,N,100,ADR
14,ABGSHIP,ABGSHIP,STK,NSE,,INR,,,,,2000,100000,-500000,0,-19000,,0.05,N,100,ADR
15,ABHISHEK,ABHISHEK,STK,NSE,,INR,,,,,2000,100000,-500000,0,-20750,,0.05,N,100,ADR
16,TRIDENT,TRIDENT,STK,NSE,,INR,,,,,2000,100000,-500000,0,-22500,,0.05,N,100,ADR
17,ACC,ACC,STK,NSE,,INR,,,,,2000,100000,-500000,0,-24250,,0.05,N,100,ADR
18,AFL,AFL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-26000,,0.05,N,100,ADR
19,HUBTOWN,HUBTOWN,STK,NSE,,INR,,,,,2000,100000,-500000,0,-27750,,0.05,N,100,ADR
20,ACROPETAL,ACROPETAL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-29500,,0.05,N,100,ADR
21,ACE,ACE,STK,NSE,,INR,,,,,2000,100000,-500000,0,-31250,,0.05,N,100,ADR
22,ADANIENT,ADANIENT,STK,NSE,,INR,,,,,2000,100000,-500000,0,-33000,,0.05,N,100,ADR
23,ADANIPORT,ADANIPORT,STK,NSE,,INR,,,,,2000,100000,-500000,0,-34750,,0.05,N,100,ADR
24,ADANIPOWE,ADANIPOWE,STK,NSE,,INR,,,,,2000,100000,-500000,0,-36500,,0.05,N,100,ADR
25,ADFFOODS,ADFFOODS,STK,NSE,,INR,,,,,2000,100000,-500000,0,-38250,,0.05,N,100,ADR
26,ADHUNIK,ADHUNIK,STK,NSE,,INR,,,,,2000,100000,-500000,0,-40000,,0.05,N,100,ADR
27,ABCIL,ABCIL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-41750,,0.05,N,100,ADR
28,BIRLAMONE,BIRLAMONE,STK,NSE,,INR,,,,,2000,100000,-500000,0,-43500,,0.05,N,100,ADR
29,ABIRLANUV,ABIRLANUV,STK,NSE,,INR,,,,,2000,100000,-500000,0,-45250,,0.05,N,100,ADR
30,ADORWELD,ADORWELD,STK,NSE,,INR,,,,,2000,100000,-500000,0,-47000,,0.05,N,100,ADR
31,AMTL,AMTL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-48750,,0.05,N,100,ADR
32,ADVANIHOT,ADVANIHOT,STK,NSE,,INR,,,,,2000,100000,-500000,0,-50500,,0.05,N,100,ADR
33,ADVANTA,ADVANTA,STK,NSE,,INR,,,,,2000,100000,-500000,0,-52250,,0.05,N,100,ADR
34,AEGISCHEM,AEGISCHEM,STK,NSE,,INR,,,,,2000,100000,-500000,0,-54000,,0.05,N,100,ADR
35,AFTEK,AFTEK,STK,NSE,,INR,,,,,2000,100000,-500000,0,-55750,,0.05,N,100,ADR
36,AGCNET,AGCNET,STK,NSE,,INR,,,,,2000,100000,-500000,0,-57500,,0.05,N,100,ADR
37,FMNL,FMNL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-59250,,0.05,N,100,ADR
38,AGRITECH,AGRITECH,STK,NSE,,INR,,,,,2000,100000,-500000,0,-61000,,0.05,N,100,ADR
39,AGRODUTCH,AGRODUTCH,STK,NSE,,INR,,,,,2000,100000,-500000,0,-62750,,0.05,N,100,ADR
40,ATFL,ATFL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-64500,,0.05,N,100,ADR
41,AHLUCONT,AHLUCONT,STK,NSE,,INR,,,,,2000,100000,-500000,0,-66250,,0.05,N,100,ADR
42,AHMEDFORG,AHMEDFORG,STK,NSE,,INR,,,,,2000,100000,-500000,0,-68000,,0.05,N,100,ADR
43,AICHAMP,AICHAMP,STK,NSE,,INR,,,,,2000,100000,-500000,0,-69750,,0.05,N,100,ADR
44,AIAENG,AIAENG,STK,NSE,,INR,,,,,2000,100000,-500000,0,-71500,,0.05,N,100,ADR
45,AJANTPHAR,AJANTPHAR,STK,NSE,,INR,,,,,2000,100000,-500000,0,-73250,,0.05,N,100,ADR
46,AJMERA,AJMERA,STK,NSE,,INR,,,,,2000,100000,-500000,0,-75000,,0.05,N,100,ADR
47,AKSHOPTFB,AKSHOPTFB,STK,NSE,,INR,,,,,2000,100000,-500000,0,-76750,,0.05,N,100,ADR
48,ALCHEM,ALCHEM,STK,NSE,,INR,,,,,2000,100000,-500000,0,-78500,,0.05,N,100,ADR
49,ALEMBICLT,ALEMBICLT,STK,NSE,,INR,,,,,2000,100000,-500000,0,-80250,,0.05,N,100,ADR
50,APLLTD,APLLTD,STK,NSE,,INR,,,,,2000,100000,-500000,0,-82000,,0.05,N,100,ADR
51,ALKALI,ALKALI,STK,NSE,,INR,,,,,2000,100000,-500000,0,-83750,,0.05,N,100,ADR
