serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,contractID,additionalInput,longvolume,shortvolume,aggression,minsize,barsstarttime,trailstop,preopen,streamingpriority,strategy
1,MMM,MMM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,20:00:00,0.05,N,1,ADR
2,ABT,ABT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,0.05,N,1,ADR
3,ABBV,ABBV,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,1.05,N,2,ADR
4,ACE,ACE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,2.05,N,3,ADR
5,ACN,ACN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,3.05,N,4,ADR
6,ACT,ACT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,4.05,N,5,ADR
7,ADBE,ADBE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,5.05,N,6,ADR
8,ADT,ADT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,6.05,N,7,ADR
9,AES,AES,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,7.05,N,8,ADR
10,AET,AET,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,8.05,N,9,ADR
11,AFL,AFL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,9.05,N,10,ADR
12,A,A,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,10.05,N,11,ADR
13,GAS,GAS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,11.05,N,12,ADR
14,APD,APD,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,12.05,N,13,ADR
15,ARG,ARG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,13.05,N,14,ADR
16,AKAM,AKAM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,14.05,N,15,ADR
17,AA,AA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,15.05,N,16,ADR
18,ALXN,ALXN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,16.05,N,17,ADR
19,ATI,ATI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,17.05,N,18,ADR
20,ALLE,ALLE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,18.05,N,19,ADR
21,AGN,AGN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,19.05,N,20,ADR
22,ADS,ADS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,20.05,N,21,ADR
23,ALL,ALL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,21.05,N,22,ADR
24,ALTR,ALTR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,22.05,N,23,ADR
25,MO,MO,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,23.05,N,24,ADR
26,AMZN,AMZN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,24.05,N,25,ADR
27,AEE,AEE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,25.05,N,26,ADR
28,AEP,AEP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,26.05,N,27,ADR
29,AXP,AXP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,27.05,N,28,ADR
30,AIG,AIG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,28.05,N,29,ADR
31,AMT,AMT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,29.05,N,30,ADR
32,AMP,AMP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,30.05,N,31,ADR
33,ABC,ABC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,31.05,N,32,ADR
34,AME,AME,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,32.05,N,33,ADR
35,AMGN,AMGN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,33.05,N,34,ADR
36,APH,APH,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,34.05,N,35,ADR
37,APC,APC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,35.05,N,36,ADR
38,ADI,ADI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,36.05,N,37,ADR
39,AON,AON,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,37.05,N,38,ADR
40,APA,APA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,38.05,N,39,ADR
41,AIV,AIV,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,39.05,N,40,ADR
42,AAPL,AAPL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,40.05,N,41,ADR
43,AMAT,AMAT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,41.05,N,42,ADR
44,ADM,ADM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,42.05,N,43,ADR
45,AIZ,AIZ,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,43.05,N,44,ADR
46,T,T,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,44.05,N,45,ADR
47,ADSK,ADSK,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,45.05,N,46,ADR
48,ADP,ADP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,46.05,N,47,ADR
49,AN,AN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,47.05,N,48,ADR
50,AZO,AZO,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,48.05,N,49,ADR
51,AVB,AVB,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,49.05,N,50,ADR
52,AVY,AVY,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,50.05,N,51,ADR
53,AVP,AVP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,51.05,N,52,ADR
54,BHI,BHI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,52.05,N,53,ADR
55,BLL,BLL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,53.05,N,54,ADR
56,BAC,BAC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,54.05,N,55,ADR
57,BK,BK,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,55.05,N,56,ADR
58,BCR,BCR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,56.05,N,57,ADR
59,BAX,BAX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,57.05,N,58,ADR
60,BBT,BBT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,58.05,N,59,ADR
61,BEAM,BEAM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,59.05,N,60,ADR
62,BDX,BDX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,60.05,N,61,ADR
63,BBBY,BBBY,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,61.05,N,62,ADR
64,BMS,BMS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,62.05,N,63,ADR
65,BBY,BBY,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,63.05,N,64,ADR
66,BIIB,BIIB,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,64.05,N,65,ADR
67,BLK,BLK,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,65.05,N,66,ADR
68,HRB,HRB,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,66.05,N,67,ADR
69,BA,BA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,67.05,N,68,ADR
70,BWA,BWA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,68.05,N,69,ADR
71,BXP,BXP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,69.05,N,70,ADR
72,BSX,BSX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,70.05,N,71,ADR
73,BMY,BMY,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,71.05,N,72,ADR
74,BRCM,BRCM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,72.05,N,73,ADR
75,CHRW,CHRW,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,73.05,N,74,ADR
76,CA,CA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,74.05,N,75,ADR
77,CVC,CVC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,75.05,N,76,ADR
78,COG,COG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,76.05,N,77,ADR
