serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barsstarttime,streamingpriority,strategy
1,ES,ES,FUT,GLOBEX,,USD,20150320,,,1,,1,ADR
2,INDU,DOW JONES,IND,SMART,NYSE,USD,,,,1,,1,IDT
3,MMM,MMM,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
4,ABT,ABT,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
5,ABBV,ABBV,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
6,ACE,ACE,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
7,ACN,ACN,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
8,ACT,ACT,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
9,ADBE,ADBE,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
10,ADT,ADT,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
11,AES,AES,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
12,AET,AET,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
13,AFL,AFL,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
14,A,A,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
15,GAS,GAS,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
16,APD,APD,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
17,ARG,ARG,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
18,AKAM,AKAM,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
19,AA,AA,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
20,ALXN,ALXN,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
21,ATI,ATI,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
22,ALLE,ALLE,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
23,AGN,AGN,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
24,ADS,ADS,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
25,ALL,ALL,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
26,ALTR,ALTR,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
27,MO,MO,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
28,AMZN,AMZN,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
29,AEE,AEE,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
30,AEP,AEP,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
31,AXP,AXP,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
32,AIG,AIG,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
33,AMT,AMT,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
34,AMP,AMP,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
35,ABC,ABC,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
36,AME,AME,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
37,AMGN,AMGN,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
38,APH,APH,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
39,APC,APC,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
40,ADI,ADI,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
41,AON,AON,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
42,APA,APA,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
43,AIV,AIV,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
44,AAPL,AAPL,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
45,AMAT,AMAT,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
46,ADM,ADM,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
47,AIZ,AIZ,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
48,T,T,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
49,ADSK,ADSK,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
50,ADP,ADP,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
51,AN,AN,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
52,AZO,AZO,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
53,AVB,AVB,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
54,AVY,AVY,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
55,AVP,AVP,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
56,BHI,BHI,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
57,BLL,BLL,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
58,BAC,BAC,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
59,BK,BK,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
60,BCR,BCR,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
61,BAX,BAX,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
62,BBT,BBT,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
63,BEAM,BEAM,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
64,BDX,BDX,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
65,BBBY,BBBY,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
66,BMS,BMS,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
67,BBY,BBY,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
68,BIIB,BIIB,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
69,BLK,BLK,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
70,HRB,HRB,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
71,BA,BA,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
72,BWA,BWA,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
73,BXP,BXP,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
74,BSX,BSX,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
75,BMY,BMY,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
76,BRCM,BRCM,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
77,CHRW,CHRW,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
78,CA,CA,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
79,CVC,CVC,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
80,COG,COG,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
81,CAM,CAM,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
82,CPB,CPB,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
83,COF,COF,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
84,CAH,CAH,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
85,CFN,CFN,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
86,KMX,KMX,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
87,CCL,CCL,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
88,CAT,CAT,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
89,CBG,CBG,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
90,CBS,CBS,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
91,CELG,CELG,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
92,CNP,CNP,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
93,CTL,CTL,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
94,CERN,CERN,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
95,CF,CF,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
96,SCHW,SCHW,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
97,CHK,CHK,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
98,CVX,CVX,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
99,CMG,CMG,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
100,CB,CB,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
101,CI,CI,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
102,CINF,CINF,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
103,CTAS,CTAS,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
104,CSCO,CSCO,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
105,C,C,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
106,CTXS,CTXS,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
107,CLF,CLF,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
108,CLX,CLX,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
109,CME,CME,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
110,CMS,CMS,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
111,COH,COH,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
112,KO,KO,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
113,CCE,CCE,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
114,CTSH,CTSH,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
115,CL,CL,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
116,CMCSA,CMCSA,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
117,CMA,CMA,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
118,CSC,CSC,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
119,CAG,CAG,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
120,COP,COP,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
121,CNX,CNX,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
122,ED,ED,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
123,STZ,STZ,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
124,GLW,GLW,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
125,COST,COST,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
126,COV,COV,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
127,CCI,CCI,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
128,CSX,CSX,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
129,CMI,CMI,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
130,CVS,CVS,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
131,DHI,DHI,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
132,DHR,DHR,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
133,DRI,DRI,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
134,DVA,DVA,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
135,DE,DE,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
136,DLPH,DLPH,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
137,DAL,DAL,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
138,DNR,DNR,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
139,XRAY,XRAY,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
140,DVN,DVN,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
141,DO,DO,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
142,DTV,DTV,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
143,DFS,DFS,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
144,DISCA,DISCA,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
145,DG,DG,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
146,DLTR,DLTR,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
147,D,D,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
148,DOV,DOV,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
149,DOW,DOW,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
150,DPS,DPS,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
151,DTE,DTE,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
