serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,contractID,additionalInput,longvolume,shortvolume,aggression,minsize,barsstarttime,trailstop,preopen,streamingpriority,strategy
1,MMM,MMM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,0.05,N,100,ADR
2,ABT,ABT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,0.05,N,100,ADR
3,ABBV,ABBV,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,1.05,N,100,ADR
4,ACE,ACE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,2.05,N,100,ADR
5,ACN,ACN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,3.05,N,100,ADR
6,ACT,ACT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,4.05,N,100,ADR
7,ADBE,ADBE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,5.05,N,100,ADR
8,ADT,ADT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,6.05,N,100,ADR
9,AES,AES,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,7.05,N,100,ADR
10,AET,AET,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,8.05,N,100,ADR
11,AFL,AFL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,9.05,N,100,ADR
12,A,A,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,10.05,N,100,ADR
13,GAS,GAS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,11.05,N,100,ADR
14,APD,APD,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,12.05,N,100,ADR
15,ARG,ARG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,13.05,N,100,ADR
16,AKAM,AKAM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,14.05,N,100,ADR
17,AA,AA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,20:00:00,15.05,N,1,"ADR,IDT"
18,ALXN,ALXN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,16.05,N,100,ADR
19,ATI,ATI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,17.05,N,100,ADR
20,ALLE,ALLE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,18.05,N,100,ADR
21,AGN,AGN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,19.05,N,100,ADR
22,ADS,ADS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,20.05,N,100,ADR
23,ALL,ALL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,21.05,N,100,ADR
24,ALTR,ALTR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,22.05,N,100,ADR
25,MO,MO,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,23.05,N,100,ADR
26,AMZN,AMZN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,24.05,N,100,ADR
27,AEE,AEE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,25.05,N,100,ADR
28,AEP,AEP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,26.05,N,100,ADR
29,AXP,AXP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,27.05,N,100,ADR
30,AIG,AIG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,28.05,N,100,ADR
31,AMT,AMT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,29.05,N,100,ADR
32,AMP,AMP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,30.05,N,100,ADR
33,ABC,ABC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,31.05,N,100,ADR
34,AME,AME,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,32.05,N,100,ADR
35,AMGN,AMGN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,33.05,N,100,ADR
36,APH,APH,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,34.05,N,100,ADR
37,APC,APC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,35.05,N,100,ADR
38,ADI,ADI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,36.05,N,100,ADR
39,AON,AON,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,37.05,N,100,ADR
40,APA,APA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,38.05,N,100,ADR
41,AIV,AIV,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,39.05,N,100,ADR
42,AAPL,AAPL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,40.05,N,100,ADR
43,AMAT,AMAT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,41.05,N,100,ADR
44,ADM,ADM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,42.05,N,100,ADR
45,AIZ,AIZ,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,43.05,N,100,ADR
46,T,T,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,44.05,N,100,ADR
47,ADSK,ADSK,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,45.05,N,100,ADR
48,ADP,ADP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,46.05,N,100,ADR
49,AN,AN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,47.05,N,100,ADR
50,AZO,AZO,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,48.05,N,100,ADR
51,AVB,AVB,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,49.05,N,100,ADR
52,AVY,AVY,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,50.05,N,100,ADR
53,AVP,AVP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,51.05,N,100,ADR
54,BHI,BHI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,52.05,N,100,ADR
55,BLL,BLL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,53.05,N,100,ADR
56,BAC,BAC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,20:00:00,54.05,N,1,"ADR,IDT"
57,BK,BK,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,55.05,N,100,ADR
58,BCR,BCR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,56.05,N,100,ADR
59,BAX,BAX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,57.05,N,100,ADR
60,BBT,BBT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,58.05,N,100,ADR
61,BEAM,BEAM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,59.05,N,100,ADR
62,BDX,BDX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,60.05,N,100,ADR
63,BBBY,BBBY,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,61.05,N,100,ADR
64,BMS,BMS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,62.05,N,100,ADR
65,BBY,BBY,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,63.05,N,100,ADR
66,BIIB,BIIB,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,64.05,N,100,ADR
67,BLK,BLK,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,65.05,N,100,ADR
68,HRB,HRB,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,66.05,N,100,ADR
69,BA,BA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,67.05,N,100,ADR
70,BWA,BWA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,68.05,N,100,ADR
71,BXP,BXP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,69.05,N,100,ADR
72,BSX,BSX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,70.05,N,100,ADR
73,BMY,BMY,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,71.05,N,100,ADR
74,BRCM,BRCM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,20:00:00,72.05,N,1,"ADR,IDT"
75,CHRW,CHRW,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,73.05,N,100,ADR
76,CA,CA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,74.05,N,100,ADR
77,CVC,CVC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,75.05,N,100,ADR
78,COG,COG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,76.05,N,100,ADR
79,CAM,CAM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,77.05,N,100,ADR
80,CPB,CPB,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,78.05,N,100,ADR
81,COF,COF,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,79.05,N,100,ADR
82,CAH,CAH,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,80.05,N,100,ADR
83,CFN,CFN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,81.05,N,100,ADR
84,KMX,KMX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,82.05,N,100,ADR
85,CCL,CCL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,83.05,N,100,ADR
86,CAT,CAT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,84.05,N,100,ADR
87,CBG,CBG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,85.05,N,100,ADR
88,CBS,CBS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,86.05,N,100,ADR
89,CELG,CELG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,87.05,N,100,ADR
90,CNP,CNP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,88.05,N,100,ADR
91,CTL,CTL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,89.05,N,100,ADR
92,CERN,CERN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,90.05,N,100,ADR
93,CF,CF,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,91.05,N,100,ADR
94,SCHW,SCHW,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,92.05,N,100,ADR
95,CHK,CHK,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,93.05,N,100,ADR
96,CVX,CVX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,94.05,N,100,ADR
97,CMG,CMG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,95.05,N,100,ADR
98,CB,CB,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,96.05,N,100,ADR
99,CI,CI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,97.05,N,100,ADR
100,CINF,CINF,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,98.05,N,100,ADR
101,CTAS,CTAS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,99.05,N,100,ADR
102,CSCO,CSCO,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,20:00:00,100.05,N,1,"ADR,IDT"
103,C,C,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,20:00:00,101.05,N,1,"ADR,IDT"
104,CTXS,CTXS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,102.05,N,100,ADR
105,CLF,CLF,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,103.05,N,100,ADR
106,CLX,CLX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,104.05,N,100,ADR
107,CME,CME,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,105.05,N,100,ADR
108,CMS,CMS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,106.05,N,100,ADR
109,COH,COH,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,107.05,N,100,ADR
110,KO,KO,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,108.05,N,100,ADR
111,CCE,CCE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,109.05,N,100,ADR
112,CTSH,CTSH,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,110.05,N,100,ADR
113,CL,CL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,111.05,N,100,ADR
114,CMCSA,CMCSA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,112.05,N,100,ADR
115,CMA,CMA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,113.05,N,100,ADR
116,CSC,CSC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,114.05,N,100,ADR
117,CAG,CAG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,115.05,N,100,ADR
118,COP,COP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,116.05,N,100,ADR
119,CNX,CNX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,117.05,N,100,ADR
120,ED,ED,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,118.05,N,100,ADR
121,STZ,STZ,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,119.05,N,100,ADR
122,GLW,GLW,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,120.05,N,100,ADR
123,COST,COST,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,121.05,N,100,ADR
124,COV,COV,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,122.05,N,100,ADR
125,CCI,CCI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,123.05,N,100,ADR
126,CSX,CSX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,124.05,N,100,ADR
127,CMI,CMI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,125.05,N,100,ADR
128,CVS,CVS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,126.05,N,100,ADR
129,DHI,DHI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,127.05,N,100,ADR
130,DHR,DHR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,128.05,N,100,ADR
131,DRI,DRI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,129.05,N,100,ADR
132,DVA,DVA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,130.05,N,100,ADR
133,DE,DE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,131.05,N,100,ADR
134,DLPH,DLPH,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,132.05,N,100,ADR
135,DAL,DAL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,133.05,N,100,ADR
136,DNR,DNR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,134.05,N,100,ADR
137,XRAY,XRAY,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,135.05,N,100,ADR
138,DVN,DVN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,136.05,N,100,ADR
139,DO,DO,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,137.05,N,100,ADR
140,DTV,DTV,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,138.05,N,100,ADR
141,DFS,DFS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,139.05,N,100,ADR
142,DISCA,DISCA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,140.05,N,100,ADR
143,DG,DG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,141.05,N,100,ADR
144,DLTR,DLTR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,2000,,142.05,N,100,ADR
