serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barsstarttime,streamingpriority,strategy
1,NIFTY50,NSENIFTY,FUT,NSE,,INR,201501,,,50,,0,ADR
2,NIFTY50,NSENIFTY,IND,NSE,,INR,,,,1,,0,IDT
3,ABIRLANUV,ABIRLANUVO,FUT,NSE,,INR,201501,,,250,,1,IDT:PAIRS
4,ACC,ACC,FUT,NSE,,INR,201501,,,250,,1,IDT:PAIRS
5,ADANIENT,ADANIENT,FUT,NSE,,INR,201501,,,1000,,1,IDT:PAIRS
6,ADANIPORT,ADANIPORTS,FUT,NSE,,INR,201501,,,2000,,1,IDT:PAIRS
7,ADANIPOWE,ADANIPOWER,FUT,NSE,,INR,201501,,,8000,,1,IDT:PAIRS
8,ALBK,ALBK,FUT,NSE,,INR,201501,,,4000,,1,IDT:PAIRS
9,AMBUJACEM,AMBUJACEM,FUT,NSE,,INR,201501,,,2000,,1,IDT:PAIRS
10,ANDHRABAN,ANDHRABANK,FUT,NSE,,INR,201501,,,4000,,1,IDT:PAIRS
11,APOLLOHOS,APOLLOHOSP,FUT,NSE,,INR,201501,,,250,,1,IDT:PAIRS
12,APOLLOTYR,APOLLOTYRE,FUT,NSE,,INR,201501,,,2000,,1,IDT:PAIRS
13,ARVIND,ARVIND,FUT,NSE,,INR,201501,,,2000,,1,IDT:PAIRS
14,ASHOKLEY,ASHOKLEY,FUT,NSE,,INR,201501,,,11000,,1,IDT:PAIRS
15,ASIANPAIN,ASIANPAINT,FUT,NSE,,INR,201501,,,500,,1,IDT:PAIRS
16,AUROPHARM,AUROPHARMA,FUT,NSE,,INR,201501,,,500,,1,IDT:PAIRS
17,AXISBANK,AXISBANK,FUT,NSE,,INR,201501,,,1250,,1,IDT:PAIRS
18,BAJAJ-AUT,BAJAJ-AUTO,FUT,NSE,,INR,201501,,,125,,1,IDT:PAIRS
19,BANKBAROD,BANKBARODA,FUT,NSE,,INR,201501,,,500,,1,IDT:PAIRS
20,BANKINDIA,BANKINDIA,FUT,NSE,,INR,201501,,,1000,,1,IDT:PAIRS
21,BATAINDIA,BATAINDIA,FUT,NSE,,INR,201501,,,250,,1,IDT:PAIRS
22,BHARATFOR,BHARATFORG,FUT,NSE,,INR,201501,,,1000,,1,IDT:PAIRS
